SPECIE NAME,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN
"1,3-butadiene",0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.4,0.0,0.44,0.0,0.49,0.37,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.73,0.02,0.0,0.0,0.0,0.03,0.03,2.92,0.01,0.0,0.03,24.84,0.02,7.52,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.19,0.0,0.0,0.0,0.0
1-Butene,2.09,1.31,0.91,2.15,2.06,4.85,1.33,1.27,0.48,0.32,2.21,0.39,2.06,1.86,0.18,2.3,0.36,0.73,2.75,3.61,2.96,4.77,0.45,1.48,0.33,1.04,0.44,1.77,1.7,1.48,0.1,0.0,0.0,0.0,0.0,0.06,0.0,0.3,0.02,0.0,0.11,0.0,0.0,0.14,0.0,0.0,0.01,0.25,0.03,0.53,2.23,6.12,0.01,0.03,0.96,1.61,3.59,0.06,0.04,0.06,1.75,4.5,2.07,0.25,0.14,0.11,3.93,4.27,3.23,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.36,0.27,0.33,2.21,3.26,2.1,1.71
cis-2-Butene,0.28,0.01,0.06,0.26,0.22,1.18,0.25,0.1,0.0,0.0,2.48,0.6,2.13,3.01,0.43,3.64,0.77,1.86,2.6,4.62,3.07,7.91,0.13,1.86,0.05,0.44,0.07,0.11,0.41,0.59,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.1,0.0,0.0,0.01,0.0,0.0,0.17,0.0,0.0,0.01,0.45,0.0,0.14,0.24,0.0,0.0,0.0,0.21,0.38,0.96,0.0,0.01,0.0,0.07,1.02,0.27,0.02,0.03,0.03,0.63,0.93,0.72,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.01,3.93,0.07,0.06,0.44,0.05,0.21
trans-2-Butene,0.35,0.02,0.08,0.5,0.37,1.23,0.4,0.21,0.0,0.0,2.49,0.55,2.33,3.34,0.45,4.13,0.97,1.61,3.38,5.95,4.21,8.91,0.16,1.03,0.06,0.57,0.08,0.55,0.22,0.59,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.4,0.0,0.0,0.03,0.0,0.0,0.36,0.0,0.0,0.01,0.55,0.0,0.18,0.21,0.0,0.0,0.01,0.07,0.41,1.09,0.0,0.0,0.0,0.02,1.16,0.22,0.0,0.03,0.02,0.43,0.62,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.31,0.54,0.25,0.08,0.44,0.0,0.27
Isoprene,0.28,2.1,1.12,0.01,0.0,0.0,0.03,0.01,0.0,0.0,0.11,0.07,0.15,0.0,0.0,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,1.66,0.0,0.51,0.0,0.3,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.0,0.03,0.0,0.0,0.01,0.02,0.11,0.12,3.96,0.0,0.0,0.02,0.0,0.04,0.02,0.01,0.0,0.01,0.02,0.01,0.27,0.0,0.0,0.09,0.2,0.01,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.31,0.31,0.1,0.34
1-Pentene,0.24,0.01,0.18,0.93,1.02,1.13,0.02,0.05,0.04,0.05,1.6,0.86,1.47,1.72,0.87,1.42,4.0,2.03,0.05,0.01,0.05,0.01,0.11,0.72,0.05,0.3,0.04,0.0,0.33,0.3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.5,0.0,0.09,0.15,0.8,0.0,0.0,0.36,0.57,1.65,0.01,0.0,0.01,0.25,2.1,0.06,0.02,0.0,0.03,0.05,0.04,3.02,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.12,2.55,0.09,0.1,0.44,0.05,0.13
cis-2-Pentene,0.19,0.01,0.06,0.11,0.07,1.16,0.0,0.01,0.0,0.0,1.68,1.08,2.01,0.98,1.41,1.53,0.87,2.19,3.46,4.75,4.15,7.07,0.03,0.09,0.03,0.0,0.04,0.0,0.32,0.59,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.1,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.02,1.63,0.0,0.02,0.11,0.8,0.0,0.0,0.56,0.09,0.26,0.0,0.0,0.0,0.01,0.27,0.02,0.0,0.0,0.01,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.07,0.0,0.07,0.16,0.56,0.05,0.18
trans-2-Pentene,0.12,0.01,0.06,0.26,0.19,1.74,0.01,0.02,0.0,0.12,3.11,1.95,3.48,1.42,1.35,3.45,1.99,0.0,0.19,0.43,0.26,0.66,0.03,0.07,0.04,0.0,0.06,0.55,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.08,0.23,1.81,0.0,0.01,0.0,0.21,0.62,0.0,0.0,0.0,0.02,0.59,0.03,0.0,0.0,0.02,0.02,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.11,0.0,0.05,0.13,0.47,0.05,0.27
1-Hexene,0.18,0.03,0.06,0.93,1.15,1.61,0.0,0.06,0.0,0.0,0.59,0.67,1.52,0.15,0.72,0.44,0.51,0.0,0.2,0.01,0.17,0.01,0.0,0.54,0.06,0.0,0.04,0.0,0.0,0.59,0.1,0.0,0.0,0.0,0.0,0.02,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.31,0.2,0.0,0.0,0.0,0.5,1.46,0.01,0.05,0.0,0.27,2.18,0.03,0.01,0.0,0.04,0.01,0.01,2.89,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,1.82,0.58,0.74,0.26,0.24
Ethyne,4.66,4.63,3.24,4.56,3.41,0.0,1.55,76.67,1.08,1.95,0.03,0.0,0.0,0.02,0.02,0.0,0.01,0.0,0.21,0.01,0.11,0.0,9.59,6.1,15.07,2.8,15.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.05,0.0,0.79,1.02,0.51,0.1,0.3,1.43,0.21,2.44,1.83,0.06,1.85,1.12,1.59,1.29,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.08,0.82,0.16,0.0,0.0,0.0,0.0
Benzene,8.49,0.01,0.03,2.99,2.57,3.92,0.13,0.25,6.38,4.33,1.27,1.61,4.49,0.44,1.08,0.49,1.03,13.23,1.37,1.09,0.77,0.71,6.38,16.39,6.83,2.14,8.89,13.04,7.54,1.28,0.1,1.23,0.2,0.51,0.11,0.28,0.4,0.3,0.99,0.26,1.09,0.27,0.28,0.78,0.08,0.05,0.03,0.93,19.96,0.62,4.44,0.5,0.03,0.05,1.25,2.8,1.5,0.45,9.55,1.75,1.94,3.69,3.34,2.58,0.03,1.01,3.79,2.14,3.69,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1.78,2.73,0.9,3.2,6.15,3.32,6.09
Toluene,10.83,4.38,2.66,0.74,0.68,6.73,0.09,0.31,16.65,5.46,3.33,4.34,9.46,2.84,8.23,2.34,12.3,8.01,2.83,2.2,4.42,2.27,1.84,7.39,1.86,3.15,3.18,4.1,20.43,7.79,1.81,47.07,9.94,9.07,4.5,25.66,1.49,7.82,9.54,5.24,7.84,8.21,7.03,27.12,3.6,10.29,2.29,5.71,17.27,4.1,7.73,3.91,31.22,15.83,1.56,3.14,3.89,1.7,4.77,1.96,4.3,1.71,3.88,5.47,0.07,1.35,3.35,3.05,10.33,11.43,0.0,0.0,0.0,0.0,0.0,26.0,0.0,11.35,11.11,1.53,5.19,26.29,29.74,8.69,24.63
m/p-Xylene,0.19,3.35,2.75,0.33,0.3,2.3,0.07,0.47,8.41,3.01,0.51,2.3,6.44,1.56,5.76,1.03,8.81,2.7,1.23,0.26,1.07,0.27,0.57,2.25,0.21,0.87,0.3,0.55,14.44,8.28,43.33,29.48,27.91,7.18,12.46,35.16,37.6,31.29,2.36,9.3,6.82,8.08,0.07,0.2,0.15,0.27,0.8,1.63,4.82,5.8,5.88,10.83,24.99,28.58,0.83,1.78,1.29,0.25,5.95,0.76,0.53,0.32,1.74,43.72,0.07,0.9,0.87,0.99,0.5,5.01,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.59,1.66,0.4,5.57,5.96,5.47,6.0
Ethylbenzene,1.5,2.93,2.87,0.18,0.13,1.37,0.02,0.26,3.33,4.67,0.2,0.74,1.89,0.91,3.47,0.33,2.49,3.12,0.91,0.23,0.89,0.12,0.47,0.9,0.24,0.5,0.37,0.55,9.03,7.0,19.36,11.48,14.56,11.72,17.95,11.11,19.25,16.24,4.0,17.47,10.03,16.31,0.09,0.28,0.31,0.55,0.92,1.6,6.56,2.98,2.85,10.13,28.25,33.22,0.0,0.81,1.36,0.37,0.4,0.3,0.88,0.25,1.35,1.37,0.05,1.16,0.82,0.92,1.33,7.3,0.0,0.0,2.0,2.0,0.0,13.0,0.0,1.07,0.54,0.96,0.33,4.19,4.4,3.78,4.72
o-Xylene,0.0,4.3,7.19,0.16,0.16,1.52,0.05,0.22,0.0,0.0,0.24,1.06,2.51,0.62,2.7,0.3,3.38,1.13,0.7,0.1,0.45,0.09,0.45,0.8,0.09,0.29,0.13,2.26,8.41,3.25,13.14,9.55,17.37,4.71,7.96,6.76,15.87,12.67,1.49,5.62,3.94,4.63,0.04,0.08,0.08,0.05,0.51,1.01,2.37,2.23,1.68,6.02,7.71,6.83,0.64,0.5,0.36,0.09,0.52,12.35,0.22,0.09,0.33,0.49,0.02,0.33,0.21,0.22,0.41,1.64,0.8,0.0,0.0,0.0,0.0,38.0,0.0,0.82,0.7,1.33,0.36,2.24,3.04,2.25,7.58
Styrene,0.51,11.71,11.0,0.1,0.0,0.86,0.0,0.02,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.05,0.11,1.15,0.0,0.0,0.0,0.0,0.41,0.05,0.44,0.0,0.55,1.16,1.54,1.28,0.6,0.33,0.7,24.54,6.62,0.41,3.47,1.58,27.61,0.06,7.12,7.43,0.01,0.02,0.01,0.01,0.13,0.11,2.99,0.11,1.62,0.0,0.29,0.44,0.1,0.06,0.07,0.02,0.03,0.46,0.06,0.02,0.08,0.08,0.0,0.07,0.12,0.05,15.3,5.4,0.0,0.0,89.0,82.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,2.63,1.43,2.56,4.4
"1,2,3-Trimethylbenzene",2.08,1.18,1.78,0.14,0.12,0.4,0.05,0.07,1.0,2.75,0.03,1.36,0.61,0.16,2.25,0.07,1.38,0.53,0.09,0.01,0.04,0.01,0.14,0.22,0.01,0.08,0.01,0.56,0.53,0.89,0.8,0.01,0.7,0.72,1.56,0.53,1.59,0.69,1.1,2.99,0.92,0.59,0.0,0.02,0.0,0.01,0.27,0.89,0.47,1.77,0.18,0.0,0.24,0.19,2.22,0.03,0.04,0.03,0.03,0.02,0.04,0.01,0.02,0.03,0.0,0.05,0.05,0.03,0.1,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,23.05,0.1,1.07,0.75,1.28,0.78
"1,2,4-Trimethylbenzene",3.74,4.52,4.56,0.55,0.46,1.46,0.02,0.12,0.0,0.0,0.13,3.78,2.76,0.52,5.19,0.1,5.33,0.84,0.21,0.02,0.13,0.02,0.38,0.37,0.01,0.14,0.02,0.5,1.28,5.62,4.51,0.03,4.92,1.2,3.07,4.42,4.76,1.19,1.32,5.01,1.45,1.11,0.01,0.03,0.02,0.01,0.42,1.58,0.68,4.49,0.5,0.0,1.45,1.24,3.12,0.1,0.11,0.06,0.16,0.09,0.11,0.03,0.05,0.07,0.0,0.09,0.1,0.07,0.11,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,1.99,0.16,8.96,4.6,5.78,2.61
"1,3,5-Trimethylbenzene",0.37,0.15,0.05,0.11,0.09,1.17,0.0,0.1,0.0,0.0,0.0,0.0,0.74,0.18,1.96,0.04,1.26,0.4,0.12,0.01,0.07,0.01,0.07,0.13,0.0,0.05,0.01,0.22,0.51,6.02,4.21,0.04,3.11,0.74,1.8,1.42,0.69,1.09,0.42,2.14,0.6,0.52,0.0,0.01,0.01,0.0,0.2,0.55,0.05,1.57,0.13,0.0,0.44,0.36,0.84,0.03,0.04,0.01,0.03,0.04,0.02,0.01,0.02,0.01,0.0,0.04,0.02,0.02,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.1,6.42,0.22,1.35,1.2,1.48,0.86
i-Propylbenzene,0.52,3.61,1.25,0.02,0.02,0.84,0.0,0.02,0.0,0.63,0.01,0.07,0.14,0.04,0.7,0.03,0.22,0.32,0.03,0.01,0.03,0.0,0.03,0.02,0.01,0.03,0.01,0.0,0.57,1.18,0.7,0.09,1.41,1.43,2.19,1.89,0.69,0.59,0.57,2.39,0.69,1.67,0.0,0.01,0.0,0.0,0.29,0.38,0.08,0.28,0.24,0.2,0.21,0.2,0.94,0.02,0.02,0.01,0.01,0.02,0.02,0.0,0.03,0.03,0.0,0.03,0.04,0.02,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.17,0.0,0.02,0.36,0.38,0.72,3.57
m-Ethyltoluene,1.14,0.01,0.01,0.19,0.19,0.34,0.0,0.11,0.12,0.44,0.0,0.0,1.51,0.38,4.13,0.05,2.72,0.98,0.2,0.02,0.12,0.03,0.26,0.29,0.03,0.12,0.04,0.27,0.64,2.07,3.51,0.02,2.01,3.77,9.67,3.2,2.28,1.29,3.38,10.11,2.78,3.08,0.02,0.05,0.04,0.01,0.89,2.57,0.67,1.53,0.37,0.1,1.49,1.36,1.56,0.08,0.13,0.04,0.09,0.08,0.08,0.03,0.07,0.06,0.0,0.07,0.06,0.06,0.13,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.09,13.42,0.11,1.27,1.4,1.79,1.23
n-Propylbenzene,0.32,11.17,13.65,0.12,0.12,1.33,0.0,0.0,0.13,0.39,0.04,0.45,0.47,0.12,2.01,0.03,0.7,0.74,0.14,0.01,0.04,0.01,0.08,0.08,0.01,0.05,0.01,0.14,0.44,1.28,1.71,0.0,1.51,0.0,0.0,2.71,1.09,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.24,0.2,0.46,0.44,0.73,0.03,0.05,0.02,0.02,0.03,0.04,0.01,0.04,0.04,0.0,0.05,0.03,0.04,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,12.68,0.02,0.29,0.48,0.51,0.42
o-Ethyltoluene,1.06,5.45,3.95,0.14,0.12,1.45,0.03,0.06,0.33,1.64,0.04,0.63,0.58,0.16,1.86,0.03,0.98,0.0,0.09,0.01,0.05,0.01,0.11,0.14,0.01,0.06,0.02,0.0,1.55,2.07,1.5,0.0,1.61,0.98,2.21,1.12,1.19,0.79,0.82,3.34,0.81,0.67,0.0,0.02,0.0,0.0,0.28,0.72,0.08,0.76,0.17,0.0,0.5,0.44,3.03,0.04,0.06,0.03,0.04,0.03,0.05,0.02,0.03,0.04,0.0,0.04,0.03,0.04,0.09,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,2.56,0.03,0.1,0.91,0.46,0.7
p-Ethyltoluene,2.01,0.01,0.02,0.18,0.15,1.17,0.0,0.06,0.0,0.0,0.05,0.97,0.72,0.16,2.02,0.04,1.13,0.0,0.12,0.01,0.1,0.02,0.14,0.13,0.01,0.06,0.02,0.08,0.32,1.78,1.5,0.01,2.11,0.95,2.97,1.99,1.39,0.89,1.07,3.04,0.87,1.16,0.01,0.02,0.02,0.0,0.31,0.77,0.28,0.65,0.2,0.1,0.69,0.56,0.0,0.04,0.06,0.02,0.04,0.05,0.04,0.02,0.04,0.04,0.0,0.04,0.03,0.03,0.08,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.67,0.75,1.05,2.03,1.64,1.68
m-Diethylbenzene,1.28,2.05,2.41,0.06,0.06,1.12,0.2,0.0,2.88,1.02,0.08,1.46,0.09,0.0,0.0,0.08,0.23,0.13,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.01,0.89,0.4,0.0,0.41,0.13,0.19,0.15,0.79,0.5,0.14,0.58,0.25,0.07,0.0,0.0,0.0,0.0,0.03,0.2,0.03,0.19,0.5,0.0,0.01,0.02,0.66,0.01,0.01,0.01,0.0,0.0,0.02,0.0,0.01,0.01,0.0,0.04,0.01,0.02,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.4,0.61,1.48,0.67
p-Diethylbenzene,4.07,0.74,2.49,0.29,0.23,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.01,0.89,0.4,0.0,0.4,0.38,0.67,0.14,0.38,0.5,0.48,1.81,0.6,0.26,0.0,0.01,0.0,0.0,0.16,0.77,0.27,3.87,0.5,0.0,0.03,0.06,1.71,0.05,0.03,0.02,0.15,0.0,0.03,0.01,0.02,0.35,0.0,0.07,0.04,0.03,0.15,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.57,0.68,1.74,0.75
tetrachloromethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.09,0.02,0.1,2.54,0.18,0.54,0.31,0.03,0.83,0.21,0.46,0.42,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,2.73,0.71,0.68,0.0,0.0,38.09,0.0
Chloroform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.17,0.05,0.01,0.08,1.61,0.13,0.38,0.26,0.02,0.65,0.18,0.45,0.24,4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,1.37,0.12,0.67,0.67,0.27,0.0,0.05
Dichloromethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.14,0.34,0.0,0.0,0.0,1.03,0.1,1.37,0.34,0.89,3.15,7.08,0.06,2.55,1.98,2.17,0.0,0.0,0.0,0.0,0.0,0.0,1.58,1.63,1.12,0.36,1.12,8.08,0.71,5.0,7.46,0.15,3.57,2.58,7.71,2.9,15.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.41,38.69,3.21,2.62,0.0,0.0,0.0,0.0
Chloromethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.28,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.04,0.0,0.01,0.01,0.03,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.55,0.44,0.07,0.28,6.85,0.5,1.74,1.34,0.18,3.91,0.85,1.87,1.71,7.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,3.04,0.4,0.0,0.0,0.0,0.0,0.0
Tetrachloroethylene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.02,0.02,0.03,0.44,0.03,0.13,0.15,0.0,0.13,0.06,0.16,0.09,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.0,0.0,0.13,0.0,0.0,2.14
Vinyl chloride,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.5,100.0,0.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0
Formaldehyde ,1.88,3.86,3.0,7.9,7.58,0.8,0.0,0.0,13.91,22.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28,0.0,6.48,16.73,1.63,17.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acetaldehyde ,1.0,1.63,1.02,4.78,4.64,3.9,0.0,0.0,6.44,11.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72,0.0,8.27,15.98,5.65,13.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acrolein,0.0,0.0,0.0,0.46,0.43,0.14,0.0,0.0,1.92,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,3.42,0.56,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Propionaldehyde/Propanal,0.23,0.39,0.47,2.98,2.21,0.3,0.0,0.0,1.02,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,1.36,2.59,0.87,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butyraldehyde/n-Butanal,0.0,1.3,1.65,1.97,2.1,0.21,0.0,0.0,2.4,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,0.0,0.28,2.63,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valeraldehyde/n-Pentanal,0.0,0.0,0.0,1.13,1.4,0.2,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.01,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
