SPECIE NAME,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN
"2,3-Dimethylbutane",0.01,0.02,0.08,0.03,0.02,0.76,0.0,0.04,0.0,0.0,1.59,3.44,0.7,0.53,1.52,1.07,0.91,0.93,3.49,2.42,2.76,1.88,0.03,0.12,0.0,0.08,0.0,0.0,0.03,0.3,0.0,0.03,0.0,0.01,0.13,0.02,0.0,0.1,0.43,0.0,0.93,0.11,0.04,0.55,0.01,0.0,0.01,0.9,0.14,0.21,0.44,0.1,0.0,0.01,0.18,0.2,0.13,0.06,0.65,0.5,0.09,0.24,0.11,0.08,0.0,0.17,0.05,0.04,0.03,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.02,0.48,0.13,1.07,1.17,0.31,0.75
2-Methylpentane,3.06,0.02,0.06,0.13,0.16,3.68,0.01,0.05,1.18,1.57,4.38,9.49,4.18,1.79,3.57,5.27,5.24,3.78,5.03,4.58,7.27,4.64,0.29,0.59,0.0,0.2,0.0,0.0,3.16,1.08,0.1,0.01,0.1,0.06,0.44,0.05,0.1,0.1,1.92,0.04,2.59,0.51,0.32,3.09,0.14,0.0,0.07,2.28,0.95,0.39,2.73,0.3,0.0,0.05,0.93,1.61,1.9,0.68,3.68,3.67,0.97,2.3,0.78,0.86,0.01,0.13,0.44,0.43,0.32,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,1.35,2.26,0.26,1.84
3-Methylpentane,1.5,0.0,0.03,0.14,0.07,3.2,0.02,0.02,0.0,1.98,2.52,2.43,3.13,0.99,2.71,4.02,6.19,3.24,3.28,4.57,5.09,4.61,0.16,0.18,0.0,0.21,0.0,0.0,2.24,0.89,0.0,0.01,0.0,0.19,0.55,0.05,0.1,0.3,1.22,0.02,1.9,0.42,0.19,1.69,0.11,0.0,0.08,2.27,1.49,0.28,2.1,0.2,0.0,0.02,0.54,0.94,0.72,0.28,2.95,2.38,4.55,1.12,0.28,0.39,0.0,0.05,0.19,0.15,0.18,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.32,0.62,0.12,1.64,1.63,0.97,1.6
n-Hexane,0.94,0.18,0.21,0.11,0.08,1.31,0.0,0.03,0.89,0.83,1.34,1.56,1.92,0.51,2.22,1.37,2.1,2.39,0.46,0.05,0.74,1.13,0.15,0.98,0.01,0.63,0.0,0.32,2.36,1.18,0.0,0.09,0.1,0.32,0.56,0.02,0.2,0.4,0.94,0.05,2.19,0.74,0.28,4.45,2.04,0.02,0.11,2.35,0.71,0.72,8.64,1.0,0.0,0.14,1.03,2.26,4.05,0.33,3.82,5.71,0.94,4.43,0.35,0.55,0.0,0.16,0.21,0.19,2.3,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.41,10.92,0.66,4.14,2.16,1.13,1.07,0.8
Methylcyclohexane,0.41,0.01,0.05,0.18,0.17,0.0,0.0,0.02,0.56,0.55,0.34,0.61,0.62,0.22,0.59,0.22,0.81,2.77,0.08,0.15,0.13,0.29,0.02,0.09,0.0,0.0,0.0,0.0,0.92,0.89,0.0,0.03,0.6,0.44,0.15,0.03,0.1,0.4,0.06,0.07,0.52,0.08,1.99,2.94,0.06,1.74,0.89,1.73,0.99,0.38,0.53,0.0,0.21,0.07,1.01,0.38,0.55,0.23,0.39,2.85,0.74,0.49,0.11,0.16,0.0,0.05,0.07,0.11,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.0,0.02,0.8,0.59,0.46,0.46
"2,3-DimethylPentane",0.42,0.01,0.03,0.05,0.04,2.66,0.0,0.02,0.0,0.0,0.0,0.0,0.44,0.15,0.85,0.25,0.73,0.33,0.41,0.48,0.66,0.45,0.12,0.32,0.0,0.0,0.0,0.0,0.19,0.3,0.0,0.0,0.1,0.03,0.34,0.05,0.1,0.2,0.03,0.0,0.25,0.0,0.26,0.81,0.0,0.02,0.07,1.71,0.03,0.0,0.38,0.0,0.0,0.01,0.27,0.23,0.26,0.08,0.4,1.01,0.23,0.37,0.29,0.23,0.0,0.04,0.22,0.3,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.21,0.26,0.26,0.26,0.34
"2,4-Dimethylpentane",0.31,0.02,0.03,0.02,0.01,1.46,0.0,0.01,0.02,0.0,0.0,0.0,0.29,0.13,0.53,0.2,0.39,0.46,0.18,0.43,0.55,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.3,0.0,0.01,0.02,0.11,0.1,0.03,0.02,0.42,0.17,0.03,0.06,0.02,0.03,0.0,0.04,0.01,0.01,0.02,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.13,0.06,0.0,0.08
2-Methylhexane,1.56,0.02,0.09,0.12,0.11,3.92,0.01,0.49,0.31,0.4,1.95,2.48,1.73,0.42,2.25,0.73,2.16,0.94,0.48,1.25,1.32,1.36,0.04,0.13,0.0,0.16,0.0,0.0,1.55,0.49,0.1,0.01,3.41,0.13,1.22,0.05,0.4,6.24,0.09,0.0,0.79,0.04,0.62,1.85,0.0,0.03,0.2,4.18,0.04,1.97,0.68,0.5,0.0,0.01,0.34,0.51,0.56,0.12,1.38,1.45,0.19,0.66,0.16,0.22,0.0,0.09,0.1,0.09,0.13,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.08,1.04,0.97,0.87,1.2
3-Methylhexane,1.6,0.01,0.03,0.11,0.09,4.04,0.0,0.05,0.3,0.12,1.17,1.57,1.69,0.45,2.25,0.73,2.26,0.0,0.63,1.22,1.42,1.31,0.03,0.0,0.0,0.14,0.0,0.0,0.0,1.18,0.0,0.01,0.3,0.16,1.09,0.21,0.1,0.5,0.1,0.03,0.69,0.05,0.63,2.47,0.0,0.04,0.28,5.68,0.06,3.33,0.83,0.1,0.0,0.01,0.0,0.57,0.68,0.18,1.32,1.62,0.33,0.77,0.24,0.35,0.0,0.12,0.16,0.16,0.14,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.0,0.04,1.91,1.3,0.87,1.5
n-Heptane,0.69,0.69,0.67,0.21,0.17,2.6,0.0,0.06,0.57,0.56,0.66,1.05,0.98,0.29,1.99,0.36,1.4,2.33,0.18,0.62,0.42,0.58,0.09,1.18,0.0,0.15,0.0,1.53,2.58,1.08,0.0,0.0,1.0,0.65,0.88,0.05,0.2,0.69,0.05,0.05,1.05,0.14,0.58,3.58,0.0,0.26,0.87,7.61,0.0,2.33,2.03,0.6,0.01,0.01,2.38,1.27,2.84,0.19,0.89,4.23,0.54,2.64,0.24,0.38,0.0,0.11,0.15,0.16,1.99,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.0,0.09,1.95,1.43,1.48,1.42
